,Title,published_date,Views,Likes,FavoriteCount,comments,Month
146,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15231,635,0,77,Aug
147,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,13006,466,0,55,Aug
148,Don't Buy My Course..,2020-08-21,7344,360,0,146,Aug
149,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29120,1115,0,166,Aug
150,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3245,128,0,40,Aug
151,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6329,538,0,108,Aug
152,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5022,183,0,39,Aug
153,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,12579,396,0,53,Aug
154,The Plagiarism Problem in Data Science,2020-08-07,13082,629,0,145,Aug
155,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14445,602,0,89,Aug
156,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4922,187,0,56,Aug
157,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11452,581,0,90,Jul
158,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2322,116,0,34,Jul
159,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5642,252,0,112,Jul
160,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8227,247,0,199,Jul
161,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1858,98,0,27,Jul
162,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29212,567,0,90,Jul
163,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,337234,7428,0,430,Jul
164,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30336,1125,0,121,Jul
165,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3644,135,0,50,Jul
166,The Best Computer for Data Science Beginners,2020-07-10,38533,858,0,158,Jul
167,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6169,231,0,82,Jul
168,Critiquing MY OWN Data Science Resume,2020-07-06,12686,398,0,88,Jul
169,Where to Start Learning Data Science,2020-07-03,18845,784,0,127,Jul
170,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4162,198,0,35,Jul
171,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4608,176,0,52,Jun
172,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16520,552,0,79,Jun
173,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2419,82,0,40,Jun
174,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2386,139,0,49,Jun
175,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4379,169,0,46,Jun
176,Why You're Struggling to Learn Data Science,2020-06-12,15264,1010,0,159,Jun
177,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11870,360,0,70,Jun
178,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23966,686,0,146,Jun
179,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5710,154,0,53,Jun
180,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,73537,2208,0,270,May
181,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20988,489,0,81,May
182,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,55668,1982,0,178,May
183,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11257,178,0,53,May
184,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,131952,4470,0,193,May
185,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3100,147,0,115,May
186,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4531,153,0,74,May
187,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1395954,49013,0,1993,May
188,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5561,196,0,42,May
189,What You Need to Know for a Data Science Internship,2020-05-01,22286,1209,0,60,May
190,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8371,350,0,54,Apr
191,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14986,457,0,103,Apr
192,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3143,85,0,24,Apr
193,5 Tips for Crushing the Work From Home Life,2020-04-20,5427,203,0,38,Apr
194,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,21729,739,0,129,Apr
195,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,29738,733,0,98,Apr
196,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,44528,907,0,155,Apr
197,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,72963,1896,0,213,Apr
